Player,Matchs,Goals,Assists
Kike Pérez,8,0,1
Joaquín Fernández,8,0,0
Javi Sánchez,7,0,0
Roque Mesa,8,0,1
Sergio Escudero,6,0,0
Álvaro Aguado,7,0,0
Sergio Asenjo,5,0,0
Luis Pérez,5,0,0
Óscar Plano,8,1,0
Monchu,7,1,0
Iván Sánchez,7,0,0
Gonzalo Plata,5,0,0
Sergi Guardiola,6,0,0
Iván Fresneda,4,0,0
Sergio León,7,2,1
Jordi Masip,3,0,0
Anuar,3,1,0
Lucas Olaza,4,0,0
Jawad ,3,0,0
Shon Weissman,5,1,0
Toni Villa,2,0,0
Juanjo Narváez,3,0,0
Zouhair Feddal,2,0,0
Sékou Gassama,1,0,0
Roberto Arroyo,1,0,0
Kenedy,1,0,0
Mickael Malsa,2,0,0
Álvaro Aceves,0,0,0
Lucas Olivei,0,0,0
David Torres,0,0,0
