Player,Matchs,Goals,Assists
Mario Suárez,1,0,0
Mario Hernández,0,0,0
Diego Méndez,0,0,0
Morro,0,0,0
Esteban Saveljich,0,0,0
Pablo Maffeo,11,1,0
Antonio Raillo,11,1,0
Predrag Rajković,11,0,0
Martin Valjent,10,0,0
Lee Kangin,11,2,3
Vedat Muriqi,9,5,0
Copete,9,0,0
Jaume Costa,8,0,0
Iñigo Ru,9,0,0
Rodrigo Battaglia,9,0,0
Dani Rodríguez,11,0,2
Antonio Sánchez,11,0,0
Clément Grenier,8,0,0
Iddrisu Baba,8,0,0
Matija Nastasić,3,0,0
Braian Cufré,3,0,0
Amath,4,0,0
Ángel Rodríguez,4,0,0
Abdón Prats,8,0,0
Giovanni González,2,0,0
Franco Russo,1,0,0
Lago Junior,5,0,0
Javi,1,0,0
Josep Anto,0,0,0
Pere Joan,0,0,0
Miguel Llabrés,0,0,0
Leonardo Román,0,0,0
Álex Moreno,10,0,1
Rui Silva,10,0,0
Guido Rodríguez,10,0,0
Borja Iglesias,11,7,2
William Carvalho,10,2,1
Rodrigo,10,1,0
Germán Pezzella,9,0,0
Luiz Henrique,9,0,1
Édgar González,8,0,0
Sergio Canales,8,1,0
Luiz Felipe,7,0,0
Aitor Ruibal,11,0,0
Youssouf Sabaly,6,0,0
Nabil Fekir,6,1,1
Juanmi,4,2,0
Martín Montoya,3,0,0
Víctor Ruiz,3,0,0
Andrés Guardado,6,0,0
Willian José,7,0,0
Joaquín,5,0,1
Paul Akouokou,4,0,0
Juan Miranda,2,0,0
Claudio Bravo,1,0,0
Juan Cruz,3,0,0
Roberto González,2,0,0
Loren Morón,2,0,0
Fran Delgado,1,0,0
José Alon,0,0,0
Daniel Martín,0,0,0
Álex Remiro,11,0,0
Martín Zubimendi,11,1,2
Mikel Merino,11,1,4
Brais Méndez,11,5,2
Takefusa Kubo,11,2,2
David Silva,11,0,0
Aihen Muñoz,9,0,0
Igor Zubeldia,8,1,0
Andoni Gorosabel,9,0,0
Alexander Sørloth,7,3,1
Aritz Elustondo,9,0,0
Robin ,8,0,0
Jon Pacheco,6,0,0
