Player,Matchs,Goals,Assists
Vinicius Júnior,8,5,1
David Alaba,8,1,3
Aurélien Tchouaméni,7,0,2
Federico Valverde,8,3,1
Thibaut Courtois,6,0,0
Ferland Mendy,6,0,0
Antonio Rüdiger,8,1,0
Rodrygo,6,3,2
Luka Modrić,7,1,2
Éder Militão,6,1,0
Karim Benzema,5,3,1
Dani Carvajal,7,0,1
Toni Kroos,6,0,1
Eduardo Camavinga,8,0,0
Lucas Vázquez,4,1,0
Andriy Lunin,2,0,0
Dani Ceballos,7,0,1
Nacho,3,0,0
Eden Hazard,3,0,0
Marco Asensio,4,0,0
Casemiro,1,0,0
Mariano,2,0,0
Lucas Cañizars,0,0,0
Luis López,0,0,0
Álvaro Odriozola,0,0,0
Diego Piñeiro,0,0,0
Jesús Vallejo,0,0,0
