Player,Matchs,Goals,Assists
Santiago Bueno,12,0,1
Aleix García,12,0,2
Valentín Castellanos,12,2,0
Juan Carlos,10,0,0
Miguel Gutiérrez,12,0,2
Oriol Romeu,9,1,0
Rodrigo Riquelme,11,3,0
Arnau Martinez,9,2,0
Juanpe,7,0,0
Yangel Herrera,9,0,2
David López,6,1,0
Bernardo Espinosa,7,0,1
Yan Couto,10,0,0
Cristhian Stuani,8,4,0
Reinier,7,1,0
Javi,8,0,0
Valery,7,0,1
Manu Vallejo,7,0,1
Paulo Gazzaniga,2,0,0
Samuel Sáiz,6,1,0
Toni Villa,8,0,0
Ramón Terrats,4,0,0
Oscar Ureña,3,0,0
Casals,2,0,0
Ricard Artero,0,0,0
Toni Fuidias,0,0,0
Iván Martín,0,0,0
Matas,0,0,0
Eric Monjonell,0,0,0
Álex Sala,0,0,0
Pau Vict,0,0,0
