Player,Matchs,Goals,Assists
Luis Hernández,6,0,0
Jeremías Ledesma,6,0,0
Alfonso Espino,6,0,0
Joseba Zaldúa,6,0,1
Víctor Chust,5,0,0
Lucas Pérez,6,0,0
Iván Alejo,6,0,0
Anthony Lozano,4,0,0
Fede S,5,0,0
Brian Ocampo,3,0,0
Fali,3,0,0
Tomás Alarcón,4,0,0
Rubén Sobrino,3,0,0
Santiago Arzamendia,3,0,0
José Mari,4,0,0
Álex Fernández,4,0,0
Blanco,2,0,0
Álvaro Negredo,5,1,0
Awer Mabil,4,0,0
Mamadou Mbaye,1,0,0
Isaac Carcelen,1,0,0
Mamady Diarra,2,0,0
Alberto Perea,1,0,0
Theo Bongonda,3,0,0
Rubén Alcaraz,2,0,0
Álvaro Giménez,1,0,0
Cala,0,0,0
Karl Etta,0,0,0
David Gil,0,0,0
Kikín,0,0,0
Curro Muñoz,0,0,0
