Player,Matchs,Goals,Assists
Raúl Albiol,6,0,0
Gerónimo Rulli,6,0,0
Pau Torres,6,0,0
Daniel Parejo,6,0,0
Alfonso Pedraza,6,0,1
Étienne Capoue,6,0,0
Nicolas Jackson,6,1,1
Gerard Moreno,5,2,0
Yeremi Pino,6,1,1
Giovani ,5,1,0
Kiko Femenía,4,0,0
Juan Foyth,3,0,0
Francis Coquelin,6,1,0
Samuel Chukwueze,6,0,1
José Lu,6,1,0
Alex Baena,6,3,0
Arnaut Groeneveld,1,0,0
Johan Mojica,2,0,0
Aïssa Mandi,2,0,0
Iker Álvarez,0,0,0
Jorge Cuenca,0,0,0
Pervis Estupiñán,0,0,0
Filip Jörgensen,0,0,0
Manu Morlanes,0,0,0
Pepe Reina,0,0,0
Manu Trigueros,0,0,0
