Player,Matchs,Goals,Assists
Leandro Cabrera,6,0,0
Sergi Darder,6,0,1
Joselu,6,3,0
Brian Oliván,6,0,0
Vinicius Souza,6,0,0
Óscar Gil,5,0,0
Edu Expósito,6,2,0
Fernando Calero,5,0,0
Sergi Gómez,4,0,0
Javi Puado,5,0,0
Álvaro Fernández,3,0,0
Benjamin Lecomte,3,0,0
Martin Braithwaite,3,2,0
Rubén,4,0,0
Nico Ribaudo,4,0,0
Omar ,3,0,0
Dani Gómez,4,0,0
Keidi Bare,3,0,0
Adri Embarba,1,0,0
Wassim Boullif,1,0,0
Luca Koleosho,2,0,0
José Carl,1,0,0
Aleix Vidal,1,0,0
Pol Lozano,1,0,0
Nabil Touaizi,1,0,0
Fortuño,0,0,0
Joan García,0,0,0
Daniel Villahermosa,0,0,0
