Player,Matchs,Goals,Assists
Gerónimo Rulli,11,0,0
Pau Torres,11,0,0
Raúl Albiol,11,0,0
Daniel Parejo,11,0,2
Alfonso Pedraza,10,0,1
Nicolas Jackson,11,2,2
Étienne Capoue,8,0,0
Yeremi Pino,10,1,1
Giovani ,7,1,0
Kiko Femenía,8,0,0
Francis Coquelin,9,1,0
Gerard Moreno,5,2,0
Alex Baena,11,4,0
Juan Foyth,3,0,0
Arnaut Groeneveld,6,2,0
José Lu,11,1,0
Samuel Chukwueze,10,0,1
Aïssa Mandi,6,0,0
Manu Morlanes,2,0,0
Johan Mojica,4,0,0
Alberto Moreno,3,0,0
Manu Trigueros,3,0,0
Iker Álvarez,0,0,0
Jorge Cuenca,0,0,0
Pervis Estupiñán,0,0,0
Filip Jörgensen,0,0,0
Pepe Reina,0,0,0
