Player,Matchs,Goals,Assists
Domingos Duarte,6,0,1
David Soria,6,0,0
Enes Ünal,6,2,1
Borja Mayoral,6,0,0
Carles Aleñá,6,1,0
Iglesias,6,1,0
Mauro Arambarri,5,0,0
Stefan Mitrović,5,0,0
Nemanja Maksimović,6,0,0
Fabrizio Angileri,4,0,0
Djené,4,0,0
Gastón Álvarez,4,2,0
Jaime Seoane,6,0,0
Portu,5,0,0
Damián Suárez,2,0,0
Ángel Algobia,1,0,0
Munir ,3,0,0
Jaime Mata,4,0,0
Luis Milla,1,0,0
Moises Par,1,0,0
Latasa,1,0,0
Alejandro Revuel,1,0,0
Jordan Amavi,0,0,0
Vicente Bellmunt,0,0,0
Kiko Casilla,0,0,0
Diego Conde,0,0,0
John Joe,0,0,0
Gorka Rive,0,0,0
Alex Rodríguez,0,0,0
