Player,Matchs,Goals,Assists
Unai Simón,10,0,0
Óscar ,10,0,2
Iñaki Williams,10,4,1
Iker Muniain,10,0,0
Oihan Sancet,10,3,0
Álex Berenguer,10,3,1
Nico Williams,10,3,3
Iñigo Lekue,8,0,1
Yeray Álvarez,8,0,1
Mikel Vesga,9,2,1
Daniel Vivian,7,0,0
Iñigo Martínez,6,0,0
Dani García,7,0,1
Yuri Berchiche,3,0,0
Ander Herrera,4,0,1
Asier Villalibre,3,0,0
Raúl García,9,1,0
Oier Zarraga,7,0,0
Gorka Guruzeta,4,2,0
Jon Morcillo,6,0,1
Unai Venced,2,0,0
Aitor Paredes,3,0,0
Malcom Abdul,1,0,0
Ander Capa,1,0,0
Julen Agirrezabala,0,0,0
Mikel Balenziaga,0,0,0
Iru,0,0,0
Peru Nolaskoain,0,0,0
