Player,Matchs,Goals,Assists
Joseph Aidoo,8,0,0
Javi Galán,8,0,1
Agustín Marchesín,8,0,0
Unai Núñez,8,0,0
Hugo Mallo,8,0,0
Fran Beltrán,8,0,1
Iago Aspas,8,5,1
Franco Cervi,7,0,1
Óscar Rodrígu,7,1,0
Renato Tapia,7,0,0
Jørgen Stra,5,0,1
Carles Pérez,8,0,1
Gabriel Veiga,8,2,1
Gonçalo Paciência,5,1,0
Augusto Solari,6,0,1
Luca ,4,0,0
Óscar Mingueza,4,0,0
Carlos Dominguez,1,0,0
Miguel Baeza,0,0,0
Pablo Durán,0,0,0
Francisco Lopez,0,0,0
Miguel Rodríguez,0,0,0
Williot Swedberg,0,0,0
Kevin Vázquez,0,0,0
Iván Villar,0,0,0
