Player,Matchs,Goals,Assists
Santiago Bueno,9,0,1
Juan Carlos,9,0,0
Aleix García,9,0,2
Valentín Castellanos,9,2,0
Miguel Gutiérrez,9,0,1
Rodrigo Riquelme,8,2,0
Juanpe,7,0,0
Oriol Romeu,6,1,0
Arnau Martinez,7,2,0
Bernardo Espinosa,6,0,1
David López,4,0,0
Yangel Herrera,6,0,1
Yan Couto,7,0,0
Reinier,5,1,0
Cristhian Stuani,5,2,0
Javi,6,0,0
Samuel Sáiz,6,1,0
Ramón Terrats,4,0,0
Manu Vallejo,5,0,1
Valery,4,0,1
Oscar Ureña,3,0,0
Toni Villa,5,0,0
Casals,2,0,0
Ricard Artero,0,0,0
Toni Fuidias,0,0,0
Paulo Gazzaniga,0,0,0
Iván Martín,0,0,0
Matas,0,0,0
Eric Monjonell,0,0,0
Álex Sala,0,0,0
Pau Vict,0,0,0
