Player,Matchs,Goals,Assists
Óscar ,8,0,2
Unai Simón,8,0,0
Iker Muniain,8,0,0
Iñaki Williams,8,3,1
Álex Berenguer,8,3,1
Oihan Sancet,8,3,0
Yeray Álvarez,7,0,1
Nico Williams,8,3,2
Iñigo Lekue,6,0,1
Daniel Vivian,5,0,0
Mikel Vesga,7,2,1
Iñigo Martínez,4,0,0
Dani García,5,0,1
Yuri Berchiche,2,0,0
Asier Villalibre,2,0,0
Raúl García,7,0,0
Gorka Guruzeta,4,2,0
Oier Zarraga,5,0,0
Ander Herrera,3,0,0
Jon Morcillo,6,0,1
Unai Venced,2,0,0
Aitor Paredes,3,0,0
Malcom Abdul,1,0,0
Ander Capa,1,0,0
Julen Agirrezabala,0,0,0
Mikel Balenziaga,0,0,0
Iru,0,0,0
Peru Nolaskoain,0,0,0
