Player,Matchs,Goals,Assists
Sergio Herrera,34,0,0
David García,33,4,0
Jon Moncayola,34,2,3
Nacho Vidal,33,0,1
Lucas Torró,31,1,0
Rubén García,34,1,5
Darko Brašanac,32,1,2
Manuel Sánchez,32,1,3
Juan Cr,21,0,0
Ezequiel Ávila,33,6,1
Ante Budimir,25,8,2
Kike,30,5,1
Unai García,16,0,0
Aridane Hernández,14,0,0
José Ángel,22,1,1
Kike Barja,18,2,0
Javi Martínez,25,1,1
Oier Sanjurjo,22,0,0
Roberto Torres,25,2,2
Iñigo Pérez,8,1,0
Jesús Areso,2,0,0
Jonás Ramalho,2,0,0
Iker Benito,4,0,0
Robert Ibáñez,4,0,0
Unai Dufur,1,0,0
Juan Pérez,1,0,0
Javier Ontiveros,3,0,0
Barbero,5,0,0
Jaume Grau,1,0,0
Pau Martínez,0,0,0
Yoel Ramírez,0,0,0
Dario Ramos,0,0,0
