Player,Matchs,Goals,Assists
Jan Oblak,30,0,0
Koke,23,1,1
Marcos Llorente,22,0,2
Yannick Carrasco,26,3,5
Stefan Savić,21,0,0
José Mar,20,0,1
Rodrigo ,28,1,1
Mario Hermoso,24,2,1
Ángel Correa,29,11,5
Luis Suárez,29,11,2
Thomas Lemar,21,4,5
Antoine Griezmann,18,3,2
Geoffrey Kondogbia,21,1,2
Felipe,20,2,1
João Félix,22,8,4
Kieran Trippiere,15,0,0
Renan Lodi,23,2,1
Reinildo Mandava,9,0,0
Héctor Herrera,18,0,0
Šime Vrsaljko,15,1,2
Matheus Cunha,21,5,3
Saúl Ñíguez,3,0,1
Daniel Wass,1,0,0
Javier Serrano,4,0,0
Carlos Martín,1,0,0
Benjamin Lecomte,0,0,0
Pablo Barrios,0,0,0
Ibrahima Camara,0,0,0
Sergio Camello,0,0,0
Sergio Di,0,0,0
Antonio Gomis,0,0,0
Ivo Grbić,0,0,0
Manu Lama,0,0,0
Marco Moreno,0,0,0
Nehuén Pérez,0,0,0
Joan Rojas,0,0,0
Ivan Šaponjić,0,0,0
Giuliano Simeone,0,0,0
