Player,Matchs,Goals,Assists
Nabil Fekir,30,6,7
Sergio Canales,30,4,6
Guido Rodríguez,28,1,2
Álex Moreno,26,5,3
Juanmi,29,14,3
Héctor Bellerín,22,0,2
Marc Bartra,20,0,0
Germán Pezzella,19,1,0
Rui Silva,18,0,0
William Carvalho,29,2,3
Willian José,29,8,4
Víctor Ruiz,18,0,0
Claudio Bravo,16,0,0
Borja Iglesias,29,9,0
Andrés Guardado,25,0,1
Édgar González,19,1,1
Aitor Ruibal,19,0,0
Rodrigo,17,1,1
Juan Miranda,11,0,1
Martín Montoya,6,0,1
Youssouf Sabaly,7,0,1
Paul Akouokou,8,0,0
Cristian Tello,22,2,2
Joaquín,18,0,1
Diego Lainez,7,0,0
Roberto González,4,0,0
Kike Hermoso,1,1,0
Víctor Camarasa,7,0,0
Calderón,1,0,0
Loren Morón,1,0,0
Raúl,1,0,0
Fran Delgado,0,0,0
Yassin Fekir,0,0,0
Marchena,0,0,0
Rebollo,0,0,0
Joel Robles,0,0,0
Sidnei,0,0,0
