Player,Matchs,Goals,Assists
Luís Maximiano,32,0,0
Luis Javi,34,8,4
Luis Milla,31,3,3
Quini,30,0,1
Germán Sánchez,29,2,1
Carlos Neva,26,0,0
Antonio Puertas,31,6,1
Maxime Gonalons,22,0,2
Jorge Molina,33,10,5
Domingos Duarte,19,1,0
Darwin Machís,25,4,2
Víctor Díaz,20,1,0
Raúl Torrente,18,0,0
Sergio Escudero,26,2,1
Ángel Montoro,24,1,1
Álex Collado,15,2,1
Myrto Uzuni,14,1,1
Njegoš Petrović,13,0,1
Rubén Rochina,15,1,3
Monchu,14,0,0
Alberto Soro,15,0,0
Luis Abram,8,0,0
Carlos Bacca,16,0,1
Santiago Arias,11,1,0
Aarón Escandell,4,0,0
Isma Ruiz,8,0,0
Yan Bri,10,0,0
Dimitri Foulquier,2,0,0
Matias Arezo,7,0,0
Barcia,1,0,0
Dani Raba,2,0,0
Adrián Butzke,1,0,0
Ángel,0,0,0
Brau,0,0,0
Cheikh Ka,0,0,0
Pepe,0,0,0
Bry,0,0,0
