Player,Matchs,Goals,Assists
Leandro Cabrera,26,2,0
Diego López,26,0,0
Raúl ,25,13,3
Sergi Gómez,25,1,2
Pedrosa,25,1,1
Sergi Darder,25,3,5
Adri Embarba,24,0,2
Javi Puado,20,3,1
Aleix Vidal,21,2,0
Óscar Gil,17,0,2
Keidi Bare,19,1,1
Óscar Melendo,14,0,0
Manu Morlanes,22,2,0
Yangel Herrera,14,1,1
David López,13,0,0
Nico Ribaudo,24,1,0
Tonny Vilhena,6,1,1
Landry Dimata,16,0,0
Fernando Calero,6,0,0
Loren Morón,18,1,0
Wu Lei,15,0,0
Fran Mérida,7,0,0
Dídac Vilà,5,0,0
Joan García,1,0,0
Miguel Ju,2,0,0
Lluís Recasens,1,0,0
Rubén,2,0,0
Jofre,2,0,1
Gori,1,0,0
Álvaro Vadillo,3,0,0
Victor Perea,1,0,0
Álvaro García,0,0,0
Aleix Gorjon,0,0,0
Roger Martínez,0,0,0
Oier Olazábal,0,0,0
Daniel Villahermosa,0,0,0
