Player,Matchs,Goals,Assists
Luis Javi,30,7,4
Luís Maximiano,27,0,0
Luis Milla,26,3,3
Carlos Neva,26,0,0
Germán Sánchez,25,2,1
Quini,26,0,0
Antonio Puertas,26,5,1
Maxime Gonalons,19,0,1
Jorge Molina,29,8,4
Raúl Torrente,18,0,0
Domingos Duarte,15,1,0
Darwin Machís,21,3,1
Ángel Montoro,21,1,1
Víctor Díaz,16,1,0
Sergio Escudero,21,1,1
Rubén Rochina,15,1,3
Monchu,14,0,0
Myrto Uzuni,9,0,0
Alberto Soro,15,0,0
Álex Collado,10,0,1
Luis Abram,8,0,0
Njegoš Petrović,9,0,0
Carlos Bacca,15,0,1
Santiago Arias,8,1,0
Aarón Escandell,4,0,0
Isma Ruiz,7,0,0
Yan Bri,9,0,0
Dimitri Foulquier,2,0,0
Matias Arezo,5,0,0
Dani Raba,1,0,0
Adrián Butzke,1,0,0
Ángel,0,0,0
Barcia,0,0,0
Cheikh Ka,0,0,0
Pepe,0,0,0
Bry,0,0,0
