Player,Matchs,Goals,Assists
Matías Dituro,38,0,0
Javi Galán,37,0,3
Iago Aspas,37,17,5
Brais Méndez,37,4,5
Denis Suárez,38,4,5
Fran Beltrán,37,1,0
Joseph Aidoo,32,0,0
Santi Mina,33,7,3
Néstor Araujo,34,0,0
Hugo Mallo,21,1,1
Franco Cervi,33,4,3
Kevin Vázquez,17,0,1
Nolito,32,2,0
Renato Tapia,29,0,0
Jeison Murillo,19,0,0
Thiago Galhardo,31,2,2
Augusto Solari,26,0,0
Carlos Dominguez,8,0,0
José Fontán,9,0,0
Okay Yokuşlu,8,0,0
Gabriel Veiga,7,0,0
Orbelín Pineda,7,0,0
Hugo Álvarez,1,0,0
Miguel Baeza,1,0,0
Hugo Sotelo,1,0,0
Alfon,0,0,0
Rubén Blanco,0,0,0
Gaizka Camp,0,0,0
Coke Carrillo,0,0,0
Thomas Carrique,0,0,0
Javier Castro,0,0,0
César Fernández,0,0,0
Fernando Medrano,0,0,0
Damián Rodríguez,0,0,0
